conglome,vivienda,hogar,codperso,ocupinf_t1,ocupinf_t2,sexo,edad,estadocivil,tuvotrabajo,categoria_trabajador,trabajopara,registrosunat,cuentassunat,tipocontrato,numpersonastrabajo,tuvootrotrabajo,normtrabaja,horas_normtrabaja,disponiblehorastrabajar,deseaotrotrabajo,antepasadosconsidera,perteneceindig,lenguamaterna,niveleduc,asiste_educ,usointernet,viviadistrito,padece_enfer,sintoma_malestar,enfermedad,recaida,accidente,notuvoenf,essalud,seguroprivado,eps,seguroffaa,sis,tipovivienda,materialparedes,materialpisos,materialtechos,habitaciones,habitacionesdormir,vivienda_status,viviendatitulo,agua_procedencia,agua_potable,conexionsshh,electricidad,celular,internet,personas_ingresos,personas_hogar,pobreza,periodo,status_inf,tiempotrabajo,alquiler,horastotales_sempasada,ingtrabw
000002,045,11,02,2,2,2,47,2,1,3,2,99,99,1,5,2,1,40,2,2,6,2,4,8,1,1,1,2,1,0,0,0,0,1,2,2,2,2,1,1,5,4,5,3,2,2,1,1,1,1,1,0,2,5,3,2014-2015,0,12,500,40,15491
000002,096,11,01,2,1,1,57,1,1,2,99,2,1,99,1,2,1,48,2,2,6,2,4,6,2,2,1,1,1,0,0,0,0,2,2,2,2,1,1,3,5,3,1,0,1,99,1,1,1,1,1,0,3,5,3,2014-2015,1,38,80,48,28505
000002,108,11,03,2,2,1,29,6,1,3,2,99,99,1,5,2,2,40,1,2,6,2,4,10,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,3,6,3,4,3,2,1,1,1,1,1,1,0,4,5,3,2014-2015,0,4.25,200,16,35810
000002,108,11,04,2,2,1,26,6,1,3,2,99,99,2,5,2,1,25,2,2,6,2,4,10,1,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,6,3,4,3,2,1,1,1,1,1,1,0,4,5,3,2014-2015,0,.41666666,200,25,10779
000005,075,11,01,2,2,1,67,2,1,2,99,2,2,99,1,2,1,58,2,2,6,2,4,7,2,2,1,1,0,0,0,0,1,2,2,2,2,2,1,1,3,1,6,3,2,1,1,1,1,1,1,0,3,4,3,2014-2015,0,40,1000,58,23592
000005,088,11,04,2,1,1,34,1,1,4,6,1,1,2,3,2,1,48,2,2,6,2,4,7,2,2,2,2,1,0,0,0,0,1,2,2,2,2,4,1,5,4,4,3,2,2,2,1,2,2,1,0,4,5,3,2014-2015,1,.25,100,48,17946
000020,011,11,02,2,1,1,18,6,1,4,6,1,1,2,4,2,1,38,2,2,6,2,4,6,2,1,1,2,0,1,0,0,0,1,2,2,2,2,1,3,6,3,3,1,2,2,1,1,5,1,1,0,2,3,3,2014-2015,1,.41666666,20,38,12420
000020,031,11,02,2,2,2,50,2,1,3,2,99,99,1,5,2,1,40,2,2,6,2,4,10,2,2,1,1,0,1,1,0,0,1,2,2,2,2,1,3,6,4,4,2,2,2,1,1,4,1,1,0,2,6,2,2014-2015,0,26,20,40,19035
000020,090,11,01,2,2,1,49,2,1,3,2,99,99,1,5,1,1,37,2,2,6,2,4,10,2,1,1,2,0,1,0,0,0,1,2,2,2,2,1,3,5,4,4,3,2,1,1,1,1,1,1,0,2,5,3,2014-2015,0,25,50,37,22183
000043,015,11,01,2,2,2,27,6,1,3,2,99,99,6,5,2,1,40,2,2,6,2,4,9,1,1,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,4,2,1,6,99,1,2,1,1,1,0,1,1,3,2014-2015,0,3,150,40,18321
000043,024,11,03,2,2,2,26,6,1,3,2,99,99,2,5,2,1,24,2,2,6,2,4,10,2,2,1,2,0,0,0,0,1,1,2,2,2,2,1,1,5,1,3,2,2,2,1,2,1,1,1,0,3,4,3,2014-2015,0,.66666669,200,24,14779
000043,096,11,02,2,2,2,32,2,1,3,2,99,99,2,5,2,1,30,2,2,6,2,4,11,1,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,4,2,1,6,99,1,2,1,1,1,0,2,2,3,2014-2015,0,.75,150,30,16499
000053,004,11,02,2,1,2,28,1,1,2,99,2,1,99,1,2,2,6,1,2,6,2,4,4,2,1,1,1,0,1,0,0,0,2,2,2,2,1,1,3,6,4,2,1,2,2,1,2,3,1,1,0,1,4,3,2014-2015,1,6,60,4,3358
000060,027,11,03,2,2,1,46,5,1,2,99,2,2,99,1,2,1,66,2,2,6,2,4,5,2,2,1,2,0,1,0,0,0,2,2,2,2,2,1,3,6,4,2,1,2,2,1,1,1,1,1,0,3,3,3,2014-2015,0,5,100,66,8506
000075,107,11,01,2,2,1,35,1,1,3,2,99,99,1,5,1,1,40,2,2,3,1,3,6,1,2,1,2,1,0,0,0,0,1,2,2,2,2,1,7,4,7,3,2,2,2,1,2,4,,1,0,2,5,3,2014-2015,0,9,60,40,16723
000094,032,11,03,2,2,1,25,6,2,3,2,99,99,6,5,2,2,48,2,2,6,2,4,8,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,6,4,4,2,2,2,1,2,1,1,1,1,3,5,3,2014-2015,0,1.25,50,0,21512
000125,012,11,01,2,2,1,47,5,1,2,99,2,2,99,1,2,1,39,1,,1,1,4,8,2,1,1,1,1,1,1,0,0,2,2,2,2,1,1,3,5,4,2,0,6,99,1,1,1,3,1,0,2,2,3,2014-2015,0,21,250,39,59260
000125,056,11,01,2,2,1,64,2,1,4,6,1,1,1,1,2,1,35,1,,1,1,1,6,2,2,1,1,0,0,1,0,0,1,2,2,2,2,1,3,6,4,3,2,2,1,1,1,1,1,1,0,2,2,3,2014-2015,0,5,500,35,14843
000129,018,11,01,2,2,2,49,5,1,2,99,2,2,99,1,2,1,66,2,2,1,2,1,4,2,2,1,1,0,0,0,0,1,2,2,2,2,2,1,1,5,1,3,2,2,1,1,1,1,2,1,0,2,4,3,2014-2015,0,.16666667,800,66,18661
000129,034,11,01,2,2,1,41,2,1,3,2,99,99,2,5,2,1,30,2,2,6,1,4,10,2,1,2,1,0,1,0,0,0,1,2,2,2,2,1,1,3,1,5,4,2,1,1,1,1,1,1,0,3,5,3,2014-2015,0,.33333334,350,30,30017
000129,034,11,02,2,2,2,41,2,1,3,2,99,99,1,5,2,2,24,2,2,1,2,1,8,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,3,1,5,4,2,1,1,1,1,1,1,0,3,5,3,2014-2015,0,17,350,18,17749
000129,051,11,03,2,1,1,45,6,1,1,99,1,1,99,1,2,2,63,2,2,6,2,4,8,2,1,1,1,0,1,0,0,0,2,2,2,2,2,1,1,5,1,7,2,2,1,1,1,1,1,1,0,2,3,3,2014-2015,1,13,800,35,47818
000129,074,11,01,2,1,2,61,5,1,3,2,99,99,1,5,2,1,30,2,2,6,2,1,8,2,1,1,1,0,1,0,0,0,1,2,2,2,2,1,3,5,3,5,3,2,1,1,1,1,1,1,1,5,7,3,2014-2015,1,19,300,30,19046
000129,074,11,02,2,2,1,37,6,1,3,2,99,99,1,5,2,1,50,2,2,1,2,4,10,2,1,1,2,0,1,0,0,0,1,2,2,2,2,1,3,5,3,5,3,2,1,1,1,1,1,1,1,5,7,3,2014-2015,0,14,300,50,26660
000129,108,11,03,2,2,1,52,6,1,4,6,1,1,2,4,2,1,66,2,2,6,1,4,6,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,3,5,4,4,4,2,1,1,1,1,2,1,0,3,5,3,2014-2015,0,.083333336,50,66,21584
000130,013,11,09,2,2,1,30,6,1,4,6,1,1,2,5,2,1,70,2,2,1,2,1,6,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,5,1,7,4,2,1,1,1,1,2,1,0,9,10,3,2014-2015,0,4,700,70,77934
000130,039,11,01,2,2,1,60,2,1,1,99,1,1,99,1,2,1,43,2,2,1,2,1,5,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,4,0,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,4,500,43,80093
000130,039,11,02,2,2,2,56,2,1,3,2,99,99,1,5,2,1,40,2,2,1,3,1,8,2,1,1,1,1,0,0,0,0,1,2,2,2,2,1,1,5,1,4,0,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,31,500,40,22555
000130,039,11,03,2,1,2,31,6,1,3,6,1,1,2,5,1,1,25,2,2,1,2,1,11,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,4,0,2,1,1,1,1,1,1,1,4,6,3,2014-2015,1,.16666667,500,25,36891
000130,075,12,04,2,2,1,28,6,1,3,6,1,1,1,5,2,1,48,2,2,6,2,4,5,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,3,6,4,5,4,2,2,1,1,1,2,1,0,5,6,3,2014-2015,0,12,150,48,13142
000132,007,11,03,2,1,1,29,6,1,3,6,2,1,1,3,2,1,30,1,2,1,2,4,8,2,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,3,1,8,5,2,1,1,1,1,1,1,1,5,6,3,2014-2015,1,1.6666666,500,30,22662
000132,023,11,03,2,1,2,33,2,1,3,6,1,1,2,5,1,1,7,2,2,1,2,1,11,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,5,1,8,4,2,1,1,1,1,1,1,0,4,6,3,2014-2015,1,.16666667,560,7,14650.666
000132,075,11,01,2,2,2,55,3,1,2,99,2,1,99,1,2,1,49,2,2,6,1,1,5,2,2,1,1,0,0,1,0,0,2,2,2,2,1,1,1,5,1,9,7,2,1,1,1,1,1,1,1,4,6,3,2014-2015,0,20,500,49,13236
